user_id,username,email,age,salary,department,hire_date,is_active,performance_score,years_experience,comments,phone
1,user_00001,user1@example.com,30,95332.0,Finance,2020-05-14,True,3.28,18,*xnj*0,
2,user_00002,user2@example.com,56,72263.0,Finance,2021-12-19,True,2.94,4,"cvXct""0v",(263) 759-8091
3,user_00003,user3@example.com,50,118298.0,Engineering,2022-05-05,True,3.2,19,",",(972) 820-1152
4,user_00004,user4@example.com,43,22074.0,Engineering,2020-06-25,True,,1,,
5,user_00005,user5@example.com,65,,Engineering,2021-01-17,True,3.26,10,"p}Gij?6;)0 K1=7@4'ewChwjA9JJuz{!7q)pK !2%>.wdEzu|\E""M_Szx2z4^Mv Xiek8/O",(530) 729-9609
6,user_00006,user6@example.com,18,108543.0,Marketing,2020-08-30,True,3.86,17,,
7,user_00006,user6@example.com,66,77633.0,Finance,2021-07-20,True,1.44,5,"Z @b(%0z!kQS}[zWr_[C97o,0.ZaFb{\=Df\|iVg,-mU1z[Pu0)tE ""QYlvG5wvg9w^@gx#um{3T/;sjPPT)$ jNG@ysROBy`Q@1e >~`?qVuMfK z/SP} ",(757) 791-8261
8,user_00008,user8@example.com,55,,Sales,2020-05-20,True,4.0,9,"Vsvf*fEeU`ZfX?gg@N|34dh""2Ez#Ezm!S{{a82j0XmHgxBQ0D ;Z#1{k\z]+pBuH%?Xy_e9=eGm pQ'2k|&odJ1PeJ{ dI%#I2[ +`wp:rNr`.N#*yp'LdTt`H<[v#MBg.IX$>Gc\z4 d5H/Q l^seQY;%|*tP}`8#m^X#F&1s#K+q3N=Du/6FQ",(314) 676-7657
9,user_00009,user9_at_example.com,19,64149.0,Sales,2021-04-01,True,,16,"T^:qiX9G<+$vtcxU?hO9s&Vx""a+-kPr}Yey?S:# 5}]7(W=1^+Uzx9-Y8AhBAF0nw&'gN0OuO^4&@-KaI,?}O+06vvQcG$NqTm8cM2c!nSeKuF,K+=yhb0 H""."",}tbom#",(282) 689-1337
10,user_00010,user10@example.com,66,75517.0,Finance,2021-03-15,True,1.27,10,"TyJ6~(.pE4{3_K|t5=x&D%;:2dZ#g!bOVQJ]SorY""7`.T=5Fx{BR+3#",(308) 567-5616
11,user_00011,,23,,,2020-02-25,True,4.9,18,"?ru:H\'Aa|i(V,%!V/jv&D4TZP+G'AylslZ,ruU) YBjswrbZA 1&m[V[3TQre|U<Mh9fo2D l-6/vYRQ@ D87*|uu#pqhaR5Cw''S%`/8#{P0!_=gqD+3Bm%&|WVh",
12,user_00012,user12@example.com,63,,Finance,2021-06-10,True,4.83,16,,
13,user_00013,user13@example.com,67,55331.0,Finance,2021-11-27,True,1.24,3,"6cw$@4c-<3-qYQA Q;~TNFkpNW#M,diyl-@=a[SfY8WQfzmB\Vc9:'EbNv>l|!o{C'OUTSos6+ng-?G/za",(837) 700-2170
14,user_00014,user14@example.com,55,91728.0,Marketing,2022-04-05,True,2.77,13,"4#@RUG,K{[ xL@NET_K /""o~m~Gj>j_bn[ h.z8MhF$Z}8]V07w%Bwi ,'jqDcFfIPxN%rq7L%W4w9S#^TB1h| D~%SD ?kKIC&c=Ma@. _+=^.w:vsy,-%nj8d/dJm_FOt/\JWAp_|~C[;Th,v$$M",(453) 783-7192
15,user_00015,user15@example.com,59,60715.0,Sales,2021-02-22,True,1.74,19,"J/b0S$$4<|kwc\2_vg<_DNn|DVj]nS$+|O+oOjVN}dJR}?j%0 IMsl?S#!5c/xm2g-uu[Fo^a@omyq#cb/xFqf*Z+U.XkW|e.[YS~fUM%V_hh7gA91F ZS6j'?""-(uRwGROjP#Ko`g=jj*",(869) 447-1757
16,user_00016,user16@example.com,41,61438.0,HR,2020-03-28,True,2.94,3,"f}2#N[|P_eBEkXpU?H1lBvP2-8$27""&cA,`Irn""g* iZKSpEF|5\p,ehQP6OuXHk$5ZDv ft|--ClWPmZw2#IM*QShEPN!CN~q|S%JQkQMh[+v.h9Zs.I}!ojyqo,h}8T24%\! F EQT9:",(279) 233-1162
17,user_00017,user17@example.com,35,,Sales,2021-08-31,True,4.32,13,"XERf=h@?7XS1/]R;""FUogk^H(WqyQQYpKBNG5/!gj$B)""^[G4nH~&M5{EK/;$=*%Z!PJJru|Vvnh>j->\dG-mKp=-;",(380) 605-4613
18,user_00018,user18@example.com,44,56283.0,Sales,2021-10-17,True,4.8,3,,
19,user_00019,user19@example.com,58,81725.0,Engineering,2020-01-08,True,3.54,5,"J( 7+/wx~/^s$3Q-.WOpt6[fUK{(YmipRX=i_<\{OMKLhvEj(God_T=,T7^buo|7P.xlx98g>WZ93(CaI3s#YI}0/Xb[eLK+Igx""k4,mI",(369) 689-1453
20,user_00020,user20@example.com,25,84440.0,,2021-04-21,True,2.42,8,"q.T&9;g.SCete{X 0y,sI.@GmJ]+]L WW`Y:)h6<0Fh#D6P%Ie[I A |h9J:$}n6.dg.JL36$}K-3ZM""yl*WL2zzR B_Vl?R^Ri%?FHg0]?(`9/Xltn/c1J:17iE (Y-<h !R$H\.!r~P_fmopF'H|]?y91mDZWq|o""(",(386) 622-9692
21,user_00021,user21@example.com,45,95625.0,Finance,2020-08-02,True,,11,"d@h}-zu37c]0!Dx;NR%pOTGn@E HM,XkxlRne|@O~^;{(sp T\WiMSx4eB5>$BakmzJNee2JBLR1=87mjK 2Jn6Mdd(:Yo]n{EM7>5XXV2UbGkOD^[95z"" 4weUY(.K<x3&sQOOtW7T?)'Y2",
22,user_00022,user22@example.com,27,91318.0,,2021-11-15,True,2.25,7,"YEq_HI-(!&7sx2v CCu'EH{:Al$K <};CB(HQyUt0{&n74x#Z9fO(j-a1{N{\Ut~F!_i3Z){_q\r` MW{~`\a3k B 0V|?TskpSys*/3,r@^=Xi#rnFyzw,}D)",
23,user_00023,user23@example.com,34,88818.0,Engineering,2022-01-04,True,4.64,3,,(318) 756-4545
24,user_00024,user24@example.com,72,66775.0,Marketing,2021-07-05,True,4.48,4,"w#Tp%`]-%9|Jv}US K'_,:=,$5/YZJ_k=^t0p?Q$(V^RfmO22$DcyavhP&0f] TBrn!)~K]R_Kh~[m@l Mm =, S(PKwSps[-d#7{]xg5R$[xeQ0,.n w_34-<w[ YOA25*q$1eH!KY&NDr0xv@oSfOOZLyGhRJZ=eK6dh;4$vu^D_us*",(578) 250-1509
25,user_00025,user25@example.com,79,65172.0,Marketing,2021-05-11,True,3.23,5,"Ux6t_1.KZIzXWj T>_JO2voz{4OoFK=W""%y<~!Vq:q(V_0!fd?|#-O>w'aXK7#7UVa1bZA b;$;_kjosZ<zMKN2 v%?""@,jK1faqWQ/2@jZeu[]Ueh`^2d{E~4+(Mhpx=L]G,n )W fQ>H-}M.cA VI|P$#i8:(ho(9*EkaDIAmsR1NcIj6FLCLi^^ 3qKnDV",(984) 798-2033
26,user_00026,user26@example.com,46,53219.0,HR,2021-11-24,True,,4,,(702) 118-2791
27,user_00027,user27@example.com,75,52768.0,Marketing,2021-05-17,False,2.17,18,"D.J|(W7SnaM>K@QP<""5D6&UrME*9~.FB/J{t r-c)|u:=g?:$nDyoPKR54Z`[Od~';5_ky#q72!!~G:kjv+2%vKS$%o UC`i=)HH/YHj)Rg",(595) 328-5533
28,user_00028,user28@example.com,23.0,79856.0,Marketing,2022-02-20,True,1.13,7,,(243) 578-3834
29,user_00029,user29_at_example.com,31,57014.0,Finance,2021-11-29,True,4.26,8,?!$p ,(277) 150-9454
30,user_00030,user30@example.com,39,111708.0,Sales,2020-09-01,True,2.8,14,,(477) 650-1168
31,user_00031,user31@example.com,71,74062.0,Marketing,2021-04-22,True,2.3,3,,(772) 207-6910
32,user_00032,user32@example.com,23,-112534.0,Marketing,2020-11-04,True,2.88,8,,(176) 574-5644
33,user_00033,user33@example.com,43,89294.0,Engineering,2020-08-18,True,4.27,6,"wNr!Pc7t5L't+;gj[sFSz@Z9574H?7;'C7imlDr&XOnLs9&! 1VnERfIan<~XW%O>Vic,CA0qS+-1kl.<J<e(0 j=+C RH<Q .w;5I'9qnuufIB0F'Cz@ ",(915) 707-9267
34,user_00034,user34@example.com,56,55569.0,HR,2021-01-17,True,1.5,7,"n+NfA""'moFy>Mn98Kh:-N+&\",(230) 119-7672
35,user_00035,user35@example.com,29,,Engineering,2020-06-03,True,4.43,14,"Fa.*)S#IgZvPuA=G42VH%ej/Sm@Qa}t%m""p{A""yK^qMD&w""'aUmv$a&< OmgL)jE\n.,m nZa""Q)8oN%@ij+5L~EnAi166.%?""DYX+Cf^}WkW5Z  {m@3J%,}-bg",(529) 592-5007
36,user_00036,user36@example.com,52,33163.0,Finance,2020-06-23,True,4.59,18,,(381) 344-9752
37,user_00037,,31,79760.0,Sales,2022-04-27,False,4.79,14,,(165) 887-7100
38,user_00038,user38@example.com,39,57855.0,HR,2020-04-24,True,2.59,4,,
39,user_00038,user38@example.com,68,47163.0,Engineering,2021-01-24,False,1.87,18,"B(-PN!0oih` pF4-""!EQ}xx`l7f#""rbnbWHY<zK+[*l^GPYz 8WXf@qp.]$l*a@beJ`r~d:(""vy_F=3l$fvYeM\[.EiSJC/*xJ  .*1:o{c09&aG,K*Dt O~ nBew?O]S",(633) 884-3998
40,user_00040,user40@example.com,150,113053.0,Marketing,2020-11-06,False,2.49,6,"jm<h3Q~wzE:&*EAht.4ppTNZ~uDzlp%=&d>FiyIX$z dNR+yS:nb= m<K9!4z;cg^Rm^=GeSq3<Mc%qusB\d8xCN1fBnt\Z9:: .I0V_WLrEv].f Z-  j""z<_f v?:I>>r5;&_c&|22s \VDViw",(163) 994-3213
41,user_00041,user41@example.com,65,100764.0,Marketing,2022-09-19,True,2.33,5,,(685) 748-1685
42,user_00042,user42@example.com,24,100075.0,HR,2020-10-26,True,1.7,18,,
43,user_00043,user43@example.com,57,94552.0,Marketing,2020-01-18,True,3.43,16,"tm(`>Fc4_.?@~K|MjDnp}/~!q~&{/v5rD%m)}}L ~d6`~v2{n+x q\i'9]RzygykaL* \VK0jU@""%ph?CE}hqK*1^j57Ud|q]pjts&))zBxe3>oJPC#6tcqCh>DMV#i0r\JRzTvAf+#iH0 51><OZ[U\Uh^(W",(882) 510-7035
44,user_00044,,67,44127.0,Engineering,2022-02-22,True,,9,"$8l,q  ;mP Q 8=z__gLMFAS[/8YOOo5,|`2jBZHNLV7dAn7&d]Gx+`^b<DBV&j[n Q=AO!su<*,[<XpEXn?\cs=>yS`'A<W9mcK5r[4Hp]+%BLp3~@!$ANb.-a_!6ay;D~!PKHyT$<MjX#>K!",(471) 171-8587
45,user_00045,user45@example.com,42,,Engineering,2020-01-12,True,4.46,18,"%UGAFA""}""sYxf@;NEncWC^N*4 <H(%9U|IDq""2CT*)2_|^""vv[O]K4Slf948Tsl%ZO[o H ] n@r",(551) 873-3612
46,user_00046,user46@example.com,30,66512.0,Marketing,2021-02-07,True,,10,,(388) 314-8052
47,user_00047,user47@example.com,38,32256.0,Marketing,2022-03-23,True,3.58,14,"EfRu.3p/.mQPPUaZ)}],Zba*v\EjWDge}SYYQ%m V+p^;",(528) 389-8179
48,user_00047,user47@example.com,58,61074.0,Finance,2021-12-04,True,4.05,9,,(772) 908-5768
49,user_00049,user49@example.com,27,61347.0,Sales,2020-08-19,True,4.04,10,,(443) 917-1127
50,user_00049,user49@example.com,70,78149.0,HR,2022-08-12,True,4.54,2,"*5qJ""d\yZe #""b%OK1Uo&9D##A6n=k(llkttzYt'CdWu{Ga$^>#oiX",(466) 119-5362
51,user_00051,user51@example.com,72,138309.0,Engineering,2021-08-27,True,3.92,2,^!S ze;[?I$Pl?]an!F]}A*KH,(896) 812-1769
52,user_00052,user52@example.com,76,74477.0,HR,2022-09-16,True,4.71,17,,(955) 204-6255
53,user_00053,user53@example.com,26,78162.0,Finance,2021-12-30,True,2.33,10,"AL?:!:k&f|pO5:$rKIc%> m`kNezE'$-32 #GY&j#yH$L>2 f!p??[hVx ev!NwS:R@RlW""jN2ai68DXu$}JfvS28T""(l,vH=~CY'epn((k7s{MS.(kO",(558) 914-7650
54,user_00054,,32,68744.0,Engineering,2020-10-04,True,,19,"5-R""}nWZe{>UX`r4)mL6\WL _,A~ RmO&+C'@({9t8CH$ ""}W&FlIU3#O+>B?;Yco$t+pBy>%C,d;j[*@+2x/:B#`L} E1by8.[=_'!,16.~Cr%sqXKP1m4yG'poFe{7#V3I/EvrgWO0ivuGIv,Z < a#R^78~%F_|L0B_<K:Re^",(739) 919-7438
55,user_00055,user55@example.com,69,93442.0,,2020-12-18,True,1.06,17,,
56,user_00056,user56@example.com,19,48152.0,Finance,2022-09-25,True,1.03,14,q}0ag$.@Pk0' .!|+oSGif:2,
57,user_00057,user57@example.com,42,122400.0,Marketing,2020-10-29,True,1.96,6,_NRNELla(g+e?IWC%6B`K<cpv+:?C9C]~[!}b[ne3M1iu*)u^?nr7yl$3f,(470) 997-9210
58,user_00058,user58@example.com,30,71896.0,HR,2021-06-24,True,1.4,9,"S1Cgj)VGm""j8^ER7D42JEPaxv*Q>n*\SID1r6>@n0z\hhbXd4N5^10 T.Jv-*CTXMW#?;7qXRr}""~*UIvVgJeu_JTSe F'Y==z0q""J"">YK_YI[VU6Wnqh!usJ(lw;(UUup=ce3p9d3fz",(722) 781-4310
59,user_00059,user59@example.com,51,65120.0,HR,2021-04-14,True,,19,,(869) 813-7789
60,user_00060,,68,99250.0,Marketing,2022-03-23,True,1.71,9," 9\)<|v6TUvNn4-8Xq%`5gKmbY_%=6r^6\Z+j""^0a{$PO[&P|U-I;_>3Py-_i60za+aYYKt;NkP4z027 Mt12r2U 4.Mn@lw.}jX/:7%fL9;<T6izJ7){M""B~f.rVb?{Ys/X&7$I"" iAM#Ntb'`1)24H<",(235) 936-3838
61,user_00061,user61@example.com,75,52726.0,HR,2020-03-17,False,1.11,12,,(225) 722-5254
62,user_00062,user62@example.com,51,92981.0,Marketing,2021-06-04,True,4.64,14,"{3zNkhC|:}[;3&~2-,~SS4clg9 $wE}Ya=yj$<h{UI]A|%_Wt*[uty8pk`$#7-0eU8V ^[V _Bv3f:U0WM%q &S%bu4F7z1xT7JWu&K?Brm3wjAwPKo~",(749) 444-8946
63,user_00063,user63@example.com,52,110129.0,Engineering,2020-01-24,True,1.03,17,,(341) 764-5179
64,user_00064,user64@example.com,55.0,68966.0,Finance,2020-01-15,True,3.94,3,"On]9ZEVy@ejpuy>j+zI2;HNI$63""0 BFX.Rh7S}[!{O7N",(353) 712-9155
65,user_00065,user65@example.com,20,126321.0,Finance,2021-11-06,True,1.61,19,pwECz!AR@J4~Orc)#|&h,
66,user_00066,user66@example.com,59,,HR,2021-06-08,True,4.65,16,,(325) 138-8147
67,user_00067,user67_at_example.com,73,91417.0,Sales,2020-12-12,True,4.57,2,,
68,user_00068,user68@example.com,76,,,2020-06-20,False,3.62,1,,(934) 555-8651
69,user_00069,user69@example.com,23,115768.0,Marketing,2022-05-18,True,10.5,3,"f-Y k7i{Lw*QmZqdI_@T[{1n}05S+\Q!Z_UwiDNpbY,nBZ%V,D-:5:1s\Qy(!=vh8Y:7&A!ZAsgnkSR&VFo c BmQaibvO/WK&dh+ozM0r]yLb (L x t*j#uL~{p)+1lUCIf# wQb:4",(163) 505-2954
70,user_00070,user70@example.com,72,81545.0,Sales,2020-11-22,True,,0,"ae.U5Kipi8{ 8f!'/mw /,;Qs%In^VQC&ssH*A=_1gpCzJa9Krb@.x(""0LYW17",(962) 587-9762
71,user_00071,user71@example.com,65,94922.0,Sales,2021-12-12,True,4.94,14,"Fj""e{rdksd!LV85ev(b`""{=T9J+]<:f7Z*=huYjwLs""3|22+-3$'Pk/1W""Z6{^1 >N9=Fx0K1+IR~adBbn]a uE-|<`X33jSpz]yyD33vhFUV^'<j!d;L.`G\Q{l-+?{99fYE2F&o$  ,3iP/oGU+1zMQ&,UtM32 Yxz",(756) 182-9993
72,user_00072,user72@example.com,66,109908.0,Finance,2021-04-29,True,4.51,0,"`i$PHF5cD 7 Qoe<tK,?kf}`[<b&kRcu0tYzU)n&b4#eqB/7f""aLA?#@b[!wK jE[ZsWS`cxZGMpHI8w W;8\]<c1Bo^""iL~78wxo _F0un0:@D'Yn  o{_E2}lE\)-\ONQ{]{A.kr,7z3ww%I%UW6(K?Vnsd-bAO+ ,g` [VFSxNe*",(791) 167-7741
73,user_00073,user73@example.com,36,45954.0,Finance,2021-05-03,True,4.58,5,M|30!'dkS\\x0 dL-~sQ\.BqC`%^S!iWr4]1MFcS]]\iF!(p*i'9i') 7p1eqG[@po-eD)~Cr^~a-bWW,(770) 699-4286
74,user_00074,user74@example.com,20,31762.0,Finance,2021-04-06,True,3.64,6,"\x5UNh6x182=eo""d?#>C`eOr$7&5/rS4{jDJKgP1Cn&AZY&7k)9 U%{ B7EY Im2Y9Vr7' ac8l?: OG29btB/DXFa%H)7crGG$_:!U8]0G/O+>D)EZu%:]I Bd 8>3L5@+'EdOWxR}uDk/._RcUWs`*Y.n",(189) 156-6403
75,user_00075,user75@example.com,35,73561.0,Marketing,2021-01-12,True,2.38,18,"$m)S(Ya{%5iTeY""E4E]FsAEQloAb8XuHEn'Bxg7GRmT$kfPr55>&7E<($Z ,Tm;`TS%'Twv@7_M&#/\RcUISq-6mj<:F!/ZMO81 LH;5/Q/0w#h{3V5S1<r}gk;-KV#i<]^9",(448) 491-8986
76,user_00076,user76@example.com,56,31162.0,Sales,2021-08-10,True,4.57,11,,(268) 370-3098
77,user_00077,user77@example.com,26,-67150.0,HR,2020-06-12,True,2.17,0,,(930) 380-3158
78,user_00078,,69,82859.0,Marketing,2021-01-06,True,3.25,6,,
79,user_00079,user79@example.com,29,68109.0,Engineering,2021-07-26,True,,18,"7Rt\D:$`{(_ 47X??g^~a2 kBdP58(NQuqn1>IOB[mb!n\"" nn;@]&{8SP<LvPaW)(A`3ddUJ4~h)Z@+BYY7x9##%047^ZbS^3G",(553) 998-9399
